sample_id,u_000,u_001,u_002,u_003,u_004,u_005,u_006,u_007,u_008,u_009,u_010,u_011,u_012,u_013,u_014,u_015,u_016,u_017,u_018,u_019,u_020,u_021,u_022,u_023,u_024,u_025,u_026,u_027,u_028,u_029,u_030,u_031,u_032,u_033,u_034,u_035,u_036,u_037,u_038,u_039,u_040,u_041,u_042,u_043,u_044,u_045,u_046,u_047,u_048,u_049,u_050,u_051,u_052,u_053,u_054,u_055,u_056,u_057,u_058,u_059,u_060,u_061,u_062,u_063,u_064,u_065,u_066,u_067,u_068,u_069,u_070,u_071,u_072,u_073,u_074,u_075,u_076,u_077,u_078,u_079,u_080,u_081,u_082,u_083,u_084,u_085,u_086,u_087,u_088,u_089,u_090,u_091,u_092,u_093,u_094,u_095,u_096,u_097,u_098,u_099,u_100,u_101,u_102,u_103,u_104,u_105,u_106,u_107,u_108,u_109,u_110,u_111,u_112,u_113,u_114,u_115,u_116,u_117,u_118,u_119,u_120,u_121,u_122,u_123,u_124,u_125,u_126,u_127,u_128,u_129,u_130,u_131,u_132,u_133,u_134,u_135,u_136,u_137,u_138,u_139,u_140,u_141,u_142,u_143,u_144,u_145,u_146,u_147,u_148,u_149
0,0,0.414262829323,0.964157045367,1.19736388003,1.29057178342,1.34085535119,1.37623380888,1.40260892169,1.42312678736,1.43962293387,1.45324173883,1.46473400408,1.47461267044,1.4832399225,1.49087860059,1.49772391629,1.50392375574,1.50959209359,1.51481809957,1.51967246898,1.52421191599,1.52848242247,1.532521626,1.53636060144,1.54002520789,1.54353711957,1.54691462362,1.55017324378,1.55332623251,1.55638496281,1.55935924241,1.5622575679,1.56508733148,1.56785499028,1.57056620602,1.57322596062,1.57583865264,1.57840817792,1.58093799754,1.58343119513,1.58589052562,1.58831845668,1.59071720421,1.59308876281,1.59543493198,1.59775733878,1.60005745751,1.60233662672,1.60459606418,1.60683687981,1.60906008714,1.61126661333,1.61345730796,1.61563295086,1.61779425899,1.61994189254,1.62207646039,1.62419852493,1.62630860635,1.62840718652,1.63049471245,1.63257159934,1.6346382334,1.63669497431,1.63874215751,1.64078009621,1.64280908322,1.64482939263,1.64684128129,1.64884499021,1.65084074578,1.6528287609,1.654809236,1.65678236,1.65874831115,1.66070725783,1.66265935923,1.66460476606,1.66654362109,1.66847605976,1.67040221064,1.67232219594,1.67423613191,1.67614412922,1.67804629338,1.67994272504,1.68183352029,1.68371877097,1.68559856496,1.68747298636,1.68934211578,1.69120603051,1.69306480476,1.69491850981,1.69676721419,1.69861098383,1.70044988222,1.70228397057,1.70411330787,1.70593795108,1.7077579552,1.7095733734,1.71138425709,1.71319065603,1.71499261843,1.71679019099,1.71858341901,1.72037234643,1.72215701595,1.72393746902,1.72571374595,1.72748588594,1.72925392716,1.73101790676,1.73277786093,1.73453382497,1.7362858333,1.73803391949,1.73977811634,1.74151845586,1.74325496936,1.74498768741,1.74671663995,1.74844185624,1.75016336495,1.75188119414,1.7535953713,1.75530592337,1.75701287678,1.75871625742,1.76041609072,1.76211240163,1.76380521462,1.76549455377,1.76718044268,1.7688629046,1.77054196234,1.77221763834,1.77388995469,1.77555893309,1.77722459493,1.77888696124,1.78054605274,1.78220188982,1.78385449259,1.78550388083,1.78715007407,1.78879309153,1.79043295219,1.79206967475
1,0,0.370622399014,0.983034015004,1.2147440758,1.29650760431,1.34811350032,1.38458090081,1.41189350091,1.43324262749,1.45049124558,1.46480157273,1.47693664582,1.48741815898,1.49661477792,1.50479428002,1.51215572852,1.51885007624,1.5249937826,1.53067806141,1.53597531211,1.54094368635,1.54563039129,1.55007411871,1.55430685803,1.55835526783,1.56224172596,1.56598514271,1.5696015968,1.57310483758,1.57650668498,1.57981735057,1.58304569729,1.5861994509,1.58928537338,1.59230940587,1.59527678727,1.59819215305,1.60105961814,1.60388284668,1.60666511094,1.60940934149,1.61211816989,1.61479396525,1.61743886566,1.62005480524,1.62264353758,1.62520665607,1.62774561153,1.63026172771,1.63275621472,1.63523018095,1.6376846434,1.64012053696,1.64253872245,1.64493999389,1.64732508479,1.64969467393,1.65204939032,1.65438981781,1.65671649908,1.65902993927,1.66133060924,1.66361894851,1.66589536788,1.66816025181,1.67041396056,1.67265683217,1.67488918419,1.67711131528,1.67932350669,1.68152602355,1.68371911611,1.68590302082,1.68807796131,1.69024414938,1.69240178578,1.69455106098,1.69669215592,1.69882524262,1.70095048483,1.7030680385,1.70517805235,1.70728066834,1.70937602204,1.71146424312,1.71354545564,1.71561977841,1.71768732536,1.71974820576,1.72180252453,1.72385038251,1.72589187664,1.72792710023,1.72995614317,1.73197909205,1.73399603043,1.73600703894,1.73801219545,1.74001157523,1.74200525107,1.74399329342,1.74597577048,1.74795274837,1.74992429115,1.75189046099,1.75385131824,1.7558069215,1.7577573277,1.75970259223,1.76164276892,1.76357791021,1.76550806713,1.7674332894,1.76935362549,1.77126912265,1.77317982699,1.7750857835,1.77698703612,1.77888362777,1.78077560037,1.78266299494,1.78454585156,1.78642420947,1.78829810706,1.79016758192,1.79203267085,1.79389340994,1.79574983454,1.79760197929,1.79944987818,1.80129356457,1.80313307116,1.80496843006,1.80679967282,1.8086268304,1.81044993321,1.81226901116,1.81408409362,1.81589520949,1.81770238716,1.81950565459,1.82130503925,1.8231005682,1.82489226806,1.82668016506,1.82846428498,1.83024465326,1.83202129493,1.83379423467,1.83556349679
2,0,0.307676904342,0.907716177404,1.18381819927,1.3068601369,1.35917697728,1.39481768451,1.42114631682,1.44143372462,1.45758565405,1.47078852872,1.48181951655,1.4912086832,1.49932963953,1.50645300744,1.51277937824,1.51846039528,1.52361267153,1.52832723001,1.53267606055,1.53671676951,1.54049593835,1.54405158999,1.54741502681,1.55061221892,1.55366486538,1.55659121461,1.55940670495,1.56212446955,1.56475573773,1.56731015658,1.56979605058,1.57222063259,1.57459017643,1.57691015897,1.57918537761,1.58142004809,1.58361788622,1.58578217655,1.58791583029,1.59002143437,1.59210129319,1.59415746426,1.59619178871,1.5982059175,1.60020133413,1.60217937412,1.60414124207,1.60608802639,1.6080207122,1.60994019261,1.61184727857,1.61374270762,1.61562715144,1.61750122268,1.6193654809,1.62122043786,1.6230665622,1.62490428365,1.62673399673,1.62855606409,1.63037081946,1.63217857031,1.63397960028,1.63577417126,1.63756252538,1.63934488669,1.64112146276,1.6428924461,1.64465801542,1.64641833679,1.64817356469,1.64992384301,1.65166930582,1.65341007824,1.65514627713,1.65687801175,1.65860538431,1.6603284906,1.6620474204,1.66376225801,1.66547308261,1.66717996866,1.66888298626,1.67058220148,1.6722776766,1.67396947047,1.67565763868,1.67734223383,1.67902330572,1.68070090157,1.68237506621,1.68404584217,1.68571326995,1.68737738804,1.68903823317,1.69069584032,1.69235024293,1.69400147293,1.69564956087,1.69729453603,1.69893642645,1.70057525906,1.70221105971,1.70384385326,1.70547366365,1.70710051393,1.70872442634,1.71034542234,1.71196352268,1.7135787474,1.71519111593,1.71680064708,1.71840735911,1.72001126971,1.72161239611,1.72321075503,1.72480636277,1.72639923518,1.72798938772,1.72957683548,1.73116159319,1.73274367523,1.73432309568,1.7358998683,1.73747400656,1.73904552369,1.74061443261,1.74218074603,1.74374447643,1.74530563604,1.7468642369,1.74842029085,1.74997380952,1.75152480439,1.75307328673,1.75461926766,1.75616275814,1.75770376899,1.75924231087,1.7607783943,1.76231202967,1.76384322725,1.76537199718,1.76689834949,1.76842229407,1.76994384075,1.77146299921,1.77297977905,1.77449418978
3,0,0.453850664304,1.08128080092,1.30117663792,1.36569131087,1.4044290053,1.43134292829,1.45117478261,1.46643752297,1.47858896312,1.4885329121,1.49685905018,1.50396800978,1.51014110376,1.51558134214,1.52043865043,1.52482596013,1.5288298044,1.53251748751,1.53594205249,1.53914579538,1.54216279786,1.54502078254,1.54774249258,1.55034673117,1.55284915443,1.55526288297,1.55759897824,1.55986681721,1.56207438952,1.56422853501,1.56633513511,1.56839926794,1.57042533499,1.57241716507,1.57437810015,1.57631106662,1.57821863472,1.5801030683,1.58196636683,1.58381030072,1.58563644146,1.58744618721,1.58924078465,1.59102134778,1.59278887406,1.59454425834,1.59628830492,1.59802173802,1.59974521087,1.60145931369,1.6031645806,1.60486149572,1.60655049853,1.60823198859,1.60990632966,1.61157385339,1.61323486258,1.61488963407,1.61653842127,1.61818145648,1.61981895289,1.62145110645,1.62307809744,1.62470009194,1.62631724319,1.62792969266,1.62953757121,1.63114099998,1.63274009126,1.63433494925,1.63592567081,1.63751234603,1.63909505883,1.64067388748,1.64224890507,1.64382017996,1.6453877761,1.64695175348,1.64851216837,1.65006907367,1.65162251915,1.65317255169,1.65471921554,1.65626255249,1.65780260206,1.65933940171,1.66087298692,1.66240339145,1.66393064734,1.66545478516,1.666975834,1.66849382168,1.67000877479,1.67152071876,1.67302967799,1.6745356759,1.67603873499,1.67753887691,1.67903612254,1.68053049199,1.68202200471,1.6835106795,1.68499653457,1.68647958756,1.6879598556,1.68943735531,1.69091210288,1.69238411406,1.69385340418,1.69531998823,1.69678388082,1.69824509623,1.69970364844,1.70115955112,1.70261281769,1.70406346128,1.70551149478,1.70695693088,1.708399782,1.70984006039,1.71127777809,1.71271294696,1.71414557869,1.71557568478,1.71700327659,1.71842836533,1.71985096207,1.72127107772,1.72268872309,1.72410390884,1.72551664553,1.7269269436,1.72833481337,1.72974026508,1.73114330885,1.7325439547,1.73394221258,1.73533809234,1.73673160373,1.73812275644,1.73951156007,1.74089802413,1.74228215808,1.74366397129,1.74504347307,1.74642067265,1.7477955792,1.74916820182,1.75053854956
4,0,0.379876327822,0.985586316994,1.22582532015,1.30867316021,1.35727693374,1.39142596152,1.41685571872,1.43662048707,1.45250047295,1.46560451247,1.47665942056,1.48616130384,1.49446015075,1.50180972919,1.50839834983,1.51436854863,1.51983008325,1.52486875123,1.52955251673,1.53393585676,1.53806290201,1.54196974428,1.54568615691,1.54923689491,1.55264268948,1.55592101721,1.55908670107,1.56215238452,1.56512890853,1.56802561406,1.57085058632,1.5736108535,1.57631254949,1.57896104789,1.58156107301,1.58411679231,1.58663189376,1.58910965086,1.59155297763,1.59396447518,1.59634647138,1.59870105477,1.60103010368,1.60333531126,1.60561820709,1.60788017595,1.61012247408,1.61234624333,1.61455252363,1.61674226376,1.61891633094,1.6210755192,1.62322055677,1.62535211266,1.62747080242,1.62957719332,1.6316718089,1.63375513311,1.63582761389,1.63788966649,1.63994167633,1.64198400172,1.6440169761,1.64604091026,1.64805609423,1.65006279897,1.652061278,1.65405176875,1.65603449391,1.65800966255,1.65997747119,1.66193810479,1.6638917376,1.66583853397,1.66777864909,1.66971222967,1.67163941453,1.67356033518,1.67547511633,1.67738387636,1.67928672777,1.68118377756,1.68307512762,1.68496087505,1.68684111248,1.68871592838,1.69058540729,1.6924496301,1.69430867426,1.69616261401,1.69801152056,1.69985546226,1.70169450482,1.70352871141,1.70535814285,1.7071828577,1.70900291245,1.71081836158,1.71262925769,1.71443565163,1.71623759253,1.71803512798,1.71982830403,1.72161716533,1.72340175514,1.72518211549,1.72695828713,1.7287303097,1.73049822172,1.73226206065,1.73402186296,1.73577766419,1.73752949893,1.73927740094,1.74102140313,1.74276153764,1.74449783584,1.74623032839,1.74795904524,1.74968401571,1.75140526844,1.75312283151,1.75483673239,1.75654699799,1.75825365469,1.75995672835,1.76165624434,1.76335222753,1.76504470237,1.76673369281,1.76841922243,1.77010131436,1.77177999135,1.77345527576,1.77512718957,1.77679575443,1.77846099161,1.78012292207,1.78178156643,1.783436945,1.7850890778,1.78673798454,1.78838368465,1.79002619727,1.7916655413,1.79330173535,1.79493479778,1.79656474673,1.79819160006
5,0,0.255576983671,0.929074414512,1.22733912732,1.33715507227,1.38709055841,1.42190712534,1.44762265124,1.46743882919,1.48321982642,1.49612542738,1.50691487908,1.51610571568,1.52406250519,1.53104917158,1.53726123476,1.5428464253,1.54791828787,1.55256540497,1.55685780083,1.56085148104,1.56459171045,1.56811541937,1.57145299616,1.57462964067,1.57766639855,1.58058096056,1.58338828641,1.58610109634,1.58873026175,1.59128511814,1.59377371758,1.5962030339,1.59857913044,1.60090729807,1.60319216939,1.60543781362,1.60764781602,1.60982534445,1.61197320563,1.61409389269,1.61618962565,1.61826238595,1.620313946,1.62234589465,1.62435965904,1.62635652358,1.6283376464,1.63030407359,1.63225675171,1.63419653866,1.63612421324,1.63804048355,1.63994599433,1.64184133354,1.64372703805,1.6456035988,1.64747146533,1.64933104975,1.65118273039,1.65302685497,1.65486374348,1.65669369072,1.65851696861,1.66033382827,1.66214450184,1.66394920417,1.66574813434,1.66754147697,1.66932940351,1.67111207331,1.67288963466,1.67466222567,1.67642997513,1.67819300324,1.67995142232,1.68170533743,1.68345484693,1.685200043,1.68694101215,1.68867783561,1.69041058976,1.69213934647,1.69386417346,1.6955851346,1.69730229018,1.69901569718,1.7007254095,1.70243147819,1.70413395166,1.70583287584,1.70752829435,1.70922024871,1.71090877843,1.71259392115,1.71427571282,1.71595418774,1.71762937872,1.71930131716,1.72097003315,1.72263555554,1.72429791204,1.72595712926,1.72761323284,1.72926624744,1.73091619684,1.73256310399,1.73420699107,1.7358478795,1.73748579005,1.73912074279,1.74075275723,1.74238185226,1.74400804627,1.74563135711,1.74725180217,1.74886939836,1.75048416219,1.75209610975,1.75370525674,1.75531161852,1.7569152101,1.75851604614,1.76011414104,1.76170950886,1.76330216342,1.76489211825,1.76647938666,1.7680639817,1.7696459162,1.77122520278,1.77280185385,1.77437588163,1.77594729815,1.77751611526,1.77908234465,1.78064599784,1.78220708619,1.78376562093,1.78532161313,1.78687507372,1.78842601353,1.78997444322,1.79152037336,1.7930638144,1.79460477666,1.79614327038,1.79767930566,1.79921289254,1.80074404094
6,0,0.451761094621,0.946409848242,1.16345157229,1.25969409956,1.30829197565,1.34241107566,1.36779181675,1.38749277167,1.40329749548,1.41631737905,1.42728118705,1.43668652573,1.44488454855,1.45212993785,1.45861172916,1.4644730382,1.4698240902,1.47475106252,1.47932222984,1.48359232453,1.48760568831,1.49139858809,1.49500094306,1.4984376301,1.5017294824,1.50489406211,1.50794626405,1.51089879201,1.51376253761,1.51654688431,1.51925995284,1.52190880107,1.52449958753,1.52703770615,1.5295278979,1.53197434372,1.53438074237,1.53675037579,1.53908616441,1.541390714,1.54366635559,1.54591517958,1.54813906502,1.55033970483,1.5525186275,1.55467721598,1.55681672407,1.55893829066,1.56104295222,1.56313165369,1.56520525811,1.56726455504,1.56931026801,1.57134306111,1.5733635448,1.57537228114,1.57736978835,1.57935654493,1.58133299336,1.58329954332,1.5852565747,1.58720444017,1.5891434676,1.59107396219,1.59299620835,1.59491047151,1.59681699963,1.59871602466,1.60060776381,1.60249242074,1.60437018659,1.606241241,1.60810575296,1.60996388161,1.61181577699,1.61366158073,1.61550142661,1.61733544118,1.61916374426,1.62098644938,1.62280366428,1.62461549126,1.62642202755,1.62822336569,1.63001959381,1.63181079592,1.63359705219,1.6353784392,1.63715503014,1.63892689506,1.64069410105,1.6424567124,1.64421479081,1.64596839552,1.64771758345,1.64946240935,1.65120292593,1.65293918398,1.65467123244,1.65639911855,1.65812288793,1.65984258465,1.66155825134,1.66326992926,1.66497765836,1.66668147735,1.66838142379,1.6700775341,1.67176984369,1.67345838693,1.67514319724,1.67682430716,1.67850174834,1.68017555163,1.68184574707,1.68351236398,1.68517543095,1.68683497589,1.68849102606,1.69014360811,1.69179274809,1.69343847145,1.69508080314,1.69671976756,1.6983553886,1.69998768971,1.70161669382,1.70324242346,1.70486490071,1.70648414726,1.70810018438,1.70971303298,1.7113227136,1.71292924641,1.71453265126,1.71613294765,1.7177301548,1.71932429157,1.72091537658,1.72250342812,1.72408846423,1.72567050266,1.72724956092,1.72882565626,1.73039880569,1.73196902596,1.73353633363,1.73510074501,1.73666227621
7,0,0.241458889722,0.941857256151,1.21982114137,1.29970780178,1.34903840705,1.38351962641,1.40906927081,1.42883273557,1.44463989688,1.45762839897,1.4685425415,1.47788940534,1.48602603685,1.49321081937,1.49963511069,1.5054434627,1.51074695797,1.51563224885,1.52016783057,1.52440848664,1.52839849758,1.53217399555,1.53576471811,1.53919533191,1.54248644402,1.54565538332,1.54871681023,1.55168319706,1.55456520971,1.55737201329,1.56011151879,1.56279058344,1.56541517457,1.56799050432,1.5705211412,1.57301110273,1.57546393293,1.57788276741,1.58027038823,1.58262927032,1.58496162106,1.58726941397,1.58955441758,1.59181822031,1.5940622518,1.5962878015,1.59849603466,1.60068800637,1.60286467368,1.60502690631,1.60717549594,1.60931116448,1.61143457123,1.6135463193,1.61564696128,1.61773700416,1.61981691385,1.62188711909,1.623948015,1.62599996618,1.62804330956,1.63007835691,1.63210539708,1.63412469806,1.63613650879,1.63814106079,1.64013856969,1.64212923652,1.64411324897,1.64609078246,1.64806200113,1.65002705878,1.65198609969,1.65393925932,1.65588666505,1.65782843678,1.65976468749,1.66169552377,1.6636210463,1.66554135027,1.66745652579,1.66936665826,1.6712718287,1.67317211404,1.67506758744,1.67695831852,1.67884437363,1.68072581605,1.68260270618,1.68447510179,1.68634305811,1.68820662807,1.6900658624,1.69192080978,1.69377151699,1.69561802899,1.69746038906,1.69929863889,1.7011328187,1.70296296727,1.70478912209,1.70661131939,1.70842959424,1.71024398059,1.71205451137,1.71386121848,1.71566413293,1.71746328484,1.71925870347,1.72105041732,1.72283845413,1.72462284091,1.72640360403,1.72818076919,1.72995436149,1.73172440546,1.73349092506,1.73525394374,1.73701348444,1.73876956963,1.74052222131,1.74227146106,1.74401731004,1.745759789,1.74749891832,1.74923471801,1.75096720774,1.75269640683,1.75442233428,1.75614500879,1.75786444875,1.75958067228,1.76129369721,1.76300354111,1.7647102213,1.76641375484,1.76811415857,1.76981144908,1.77150564276,1.77319675577,1.77488480406,1.77656980341,1.77825176935,1.77993071728,1.78160666238,1.78327961967,1.78494960398,1.78661662999,1.78828071222
8,0,0.31960848875,0.979900051858,1.24123542351,1.32437423252,1.37039792593,1.40252100589,1.42628515214,1.44463571677,1.45928606746,1.47130130157,1.48137816256,1.48999125683,1.49747470375,1.50407024527,1.50995687356,1.51526976537,1.52011277022,1.52456687393,1.52869607199,1.53255153122,1.53617459351,1.53959897987,1.54285243176,1.54595794985,1.54893474037,1.55179894614,1.55456421698,1.557242159,1.55984269157,1.56237433306,1.56484443153,1.56725935193,1.56962462928,1.57194509459,1.57422497895,1.5764680002,1.57867743524,1.58085618076,1.58300680449,1.58513158851,1.58723256618,1.58931155355,1.59137017629,1.59340989287,1.59543201446,1.59743772222,1.59942808225,1.60140405855,1.60336652446,1.60531627246,1.60725402293,1.60918043179,1.61109609716,1.61300156534,1.61489733602,1.61678386695,1.61866157803,1.62053085499,1.62239205268,1.62424549793,1.62609149219,1.62793031386,1.62976222037,1.63158745007,1.63340622389,1.63521874691,1.63702520966,1.63882578944,1.64062065138,1.64240994948,1.64419382752,1.64597241989,1.64774585237,1.64951424277,1.65127770163,1.65303633272,1.6547902336,1.65653949609,1.65828420671,1.66002444705,1.66176029418,1.66349182094,1.66521909628,1.66694218553,1.66866115064,1.67037605045,1.67208694089,1.67379387517,1.675496904,1.67719607574,1.67889143654,1.68058303054,1.68227089993,1.68395508516,1.68563562497,1.68731255657,1.68898591569,1.69065573669,1.69232205266,1.69398489547,1.69564429585,1.6973002835,1.69895288708,1.70060213434,1.70224805212,1.70389066643,1.70553000252,1.70716608485,1.70879893723,1.71042858277,1.71205504396,1.71367834273,1.7152985004,1.7169155378,1.71852947523,1.72014033253,1.72174812909,1.72335288385,1.72495461536,1.72655334177,1.72814908086,1.72974185006,1.73133166648,1.73291854688,1.73450250774,1.73608356523,1.73766173524,1.73923703341,1.74080947512,1.74237907548,1.74394584941,1.74550981155,1.74707097638,1.74862935813,1.75018497085,1.75173782839,1.75328794443,1.75483533244,1.75638000575,1.75792197752,1.75946126072,1.7609978682,1.76253181266,1.76406310662,1.76559176249,1.76711779255,1.76864120891,1.77016202361,1.7716802485
9,0,0.256897324834,1.03211344161,1.29094778524,1.35799498165,1.40074030321,1.4304353558,1.45231160375,1.46914222578,1.48253634825,1.49349179193,1.50265969693,1.51048253039,1.51727103251,1.52324948536,1.5285835492,1.53339802579,1.53778855694,1.5418295413,1.54557962032,1.5490855598,1.55238504731,1.55550874187,1.55848179816,1.56132501512,1.56405571214,1.56668840492,1.56923533202,1.57170686901,1.57411185691,1.5764578649,1.57875140182,1.58099808781,1.58320279428,1.58536975894,1.58750268077,1.58960479875,1.59167895771,1.59372766333,1.59575312859,1.59775731294,1.59974195558,1.60170860378,1.60365863711,1.60559328822,1.6075136607,1.6094207445,1.61131542931,1.61319851612,1.61507072729,1.61693271539,1.61878507087,1.62062832879,1.62246297478,1.62428945021,1.62610815682,1.62791946082,1.6297236964,1.63152116903,1.63331215823,1.63509692012,1.63687568969,1.63864868279,1.64041609794,1.64217811795,1.64393491136,1.64568663375,1.6474334289,1.64917542984,1.6509127598,1.65264553309,1.65437385585,1.65609782674,1.65781753761,1.65953307406,1.66124451595,1.66295193789,1.66465540966,1.66635499662,1.66805076005,1.66974275748,1.67143104299,1.67311566749,1.67479667897,1.67647412268,1.67814804142,1.67981847567,1.68148546377,1.6831490421,1.68480924523,1.68646610602,1.68811965579,1.6897699244,1.69141694038,1.69306073099,1.69470132235,1.6963387395,1.69797300649,1.69960414642,1.70123218155,1.70285713331,1.70447902239,1.70609786879,1.70771369184,1.70932651027,1.71093634223,1.71254320537,1.71414711679,1.71574809318,1.71734615075,1.71894130533,1.72053357236,1.72212296691,1.72370950372,1.72529319722,1.72687406153,1.72845211051,1.73002735772,1.73159981652,1.73316949999,1.73473642101,1.73630059225,1.73786202619,1.73942073511,1.7409767311,1.74253002612,1.74408063193,1.74562856018,1.74717382233,1.74871642973,1.75025639361,1.75179372505,1.75332843501,1.75486053437,1.75639003386,1.75791694414,1.75944127574,1.76096303911,1.76248224461,1.7639989025,1.76551302297,1.76702461611,1.76853369194,1.77004026041,1.77154433137,1.77304591463,1.77454501991,1.77604165685,1.77753583507,1.77902756407
