timestamp_utc,Hs_m,Tavg_s
2023-05-10T07:00:00Z,0.060,2.835
2023-05-10T08:00:00Z,0.055,2.810
2023-05-10T09:00:00Z,0.055,3.015
2023-05-10T10:00:00Z,0.065,3.400
2023-05-10T11:00:00Z,0.055,3.220
2023-05-10T12:00:00Z,0.040,3.090
2023-05-10T13:00:00Z,0.040,3.050
2023-05-10T14:00:00Z,0.050,3.950
2023-05-10T15:00:00Z,0.045,3.665
2023-05-10T16:00:00Z,0.045,3.545
2023-05-10T17:00:00Z,0.075,3.255
2023-05-10T18:00:00Z,0.070,3.535
2023-05-10T19:00:00Z,0.050,3.735
2023-05-10T20:00:00Z,0.045,3.075
2023-05-10T21:00:00Z,0.060,3.455
2023-05-10T22:00:00Z,0.040,3.165
2023-05-10T23:00:00Z,0.035,2.980
2023-05-11T00:00:00Z,0.045,3.270
2023-05-11T01:00:00Z,0.055,3.560
2023-05-11T02:00:00Z,0.035,3.205
2023-05-11T03:00:00Z,0.045,3.275
2023-05-11T04:00:00Z,0.050,3.300
2023-05-11T05:00:00Z,0.045,3.125
2023-05-11T06:00:00Z,0.040,2.785
2023-05-11T07:00:00Z,0.045,2.715
2023-05-11T08:00:00Z,0.030,2.940
2023-05-11T09:00:00Z,0.025,2.810
2023-05-11T10:00:00Z,0.045,3.245
2023-05-11T11:00:00Z,0.020,3.170
2023-05-11T12:00:00Z,0.025,3.385
2023-05-11T13:00:00Z,0.025,2.885
2023-05-11T14:00:00Z,0.030,4.330
2023-05-11T15:00:00Z,0.055,3.580
2023-05-11T16:00:00Z,0.060,3.520
2023-05-11T17:00:00Z,0.035,2.900
2023-05-11T18:00:00Z,0.055,3.900
2023-05-11T19:00:00Z,0.065,3.255
2023-05-11T20:00:00Z,0.040,2.990
2023-05-11T21:00:00Z,0.070,3.665
2023-05-11T22:00:00Z,0.045,2.890
2023-05-11T23:00:00Z,0.035,2.720
2023-05-12T00:00:00Z,0.040,3.260
2023-05-12T01:00:00Z,0.055,3.935
2023-05-12T02:00:00Z,0.045,3.100
2023-05-12T03:00:00Z,0.040,2.805
2023-05-12T04:00:00Z,0.065,3.035
2023-05-12T05:00:00Z,0.045,3.340
2023-05-12T06:00:00Z,0.030,2.915
2023-05-12T07:00:00Z,0.030,2.885
2023-05-12T08:00:00Z,0.035,3.025
2023-05-12T09:00:00Z,0.035,3.195
2023-05-12T10:00:00Z,0.025,2.940
2023-05-12T11:00:00Z,0.025,2.640
2023-05-12T12:00:00Z,0.030,3.000
2023-05-12T13:00:00Z,0.025,2.920
2023-05-12T14:00:00Z,0.040,3.770
2023-05-12T15:00:00Z,0.045,3.370
2023-05-12T16:00:00Z,0.040,2.915
2023-05-12T17:00:00Z,0.045,3.245
2023-05-12T18:00:00Z,0.065,3.400
2023-05-12T19:00:00Z,0.055,3.150
