time,latitude,longitude,depth,mag,place,id
1918-04-21T22:32:30.350Z,33.762,-116.972,10,6.7,"The 1918 San Jacinto, California Earthquake",iscgem913126
1922-03-10T11:21:20.000Z,35.75,-120.25,,6.5,"1922 Parkfield, California Earthquake",ushis675
1925-06-29T14:42:16.000Z,34.3,-119.8,10,6.82,"The 1925 Santa Barbara, California Earthquake",ci37161284
1927-11-04T13:51:03.410Z,34.68,-120.705,10,6.9,"The 1927 Lompoc, California Earthquake",iscgem909604
1940-05-19T04:36:40.500Z,32.8441667,-115.381,6,6.9,"The 1940 Imperial Valley, California Earthquake",ci3365279
1942-10-21T16:22:11.980Z,32.9753333,-115.7853333,6,6.6,"The 1942 Fish Creek Mountains, California Earthquake",ci3366099
1947-04-10T15:58:05.110Z,34.9828333,-116.5315,6,6.5,"The 1947 Manix, California Earthquake",ci3358945
1952-07-21T11:52:14.540Z,34.9581667,-118.998,6,7.5,"The 1952 Kern County, California Earthquake",ci3319401
1968-04-09T02:28:58.390Z,33.1798333,-116.103,10,6.6,"The 1968 Borrego Mountain, California Earthquake",ci3329122
1971-02-09T14:00:41.920Z,34.416,-118.37,8.95,6.6,"1971 San Fernando Earthquake, California",ci3347678
1983-05-02T23:42:38.060Z,36.2316667,-120.312,9.578,6.7,"The 1983 Coalinga, California Earthquake",nc1091100
1987-11-24T13:15:56.710Z,33.015,-115.852,11.181,6.6,"The 1987 Superstition Hills, California Earthquake",ci628016
1992-06-28T11:57:34.130Z,34.2,-116.437,-0.097,7.3,"The 1992 Landers, California Earthquake",ci3031111
1994-01-17T12:30:55.390Z,34.213,-118.537,18.202,6.7,"Northridge, California, earthquake",ci3144585
1999-10-16T09:46:44.460Z,34.6033333,-116.265,13.73,7.1,"The 1999 Hector Mine, California Earthquake",ci9108652
2003-12-22T19:15:56.240Z,35.7005,-121.1005,8.382,6.5,"10 km NE of San Simeon, California",nc21323712
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,"The 2010 Sierra El Mayor, B.C., Mexico Earthquake",ci14607652
2019-07-06T03:19:53.040Z,35.7695,-117.5993333,8,7.1,Ridgecrest Earthquake Sequence,ci38457511
